WKT,LEVEL,h3_index,COMP_CAR_1,COMP_CAR_2,COMP_CAR_3,COMP_CAR_4,COMP_CAR_5,COMP_CAR_6,COMP_CAR_7
"POLYGON ((-3.6681762966232 40.4333422575396,-3.66993988061843 40.4321262355051,-3.66947064415447 40.4302745972885,-3.66723793740023 40.4296389986274,-3.66547440999132 40.4308549917317,-3.66594353274973 40.4327066124262,-3.6681762966232 40.4333422575396))",9,89390ca26a3ffff,0.438234545974205,2.81972066831783,-0.202370056181015,-0.965862039503813,-0.140250051457516,-0.65041135042765,-2.12589738993768
"POLYGON ((-3.67194540287844 40.4155161411836,-3.67370855290233 40.4142998524559,-3.67323931995445 40.4124481557487,-3.67100705063369 40.4118127652815,-3.66924395715643 40.413029025063,-3.66971307645272 40.4148807042569,-3.67194540287844 40.4155161411836))",9,89390ca266bffff,0.520157187608434,2.8720158219807,-0.135201151970203,-0.432878755172936,0.0227582924250823,0.00393301411095637,-1.61655980132629
"POLYGON ((-3.66794990751638 40.4160969049365,-3.66971307645272 40.4148807042569,-3.66924395715643 40.413029025063,-3.66701178257512 40.4123935640697,-3.66524867019917 40.4136097358087,-3.66571767584356 40.4154613974805,-3.66794990751638 40.4160969049365))",9,89390ca266fffff,0.602647274573855,2.78998204848506,-0.10587032310433,-0.442953628140936,0.0042885256383639,0.0293877335239965,-1.05673923876587
"POLYGON ((-3.67335312361339 40.4210711855807,-3.67511640565591 40.419854927014,-3.67464709575102 40.4180032380927,-3.67241461747234 40.4173678252476,-3.67065139198047 40.4185840548699,-3.67112058821603 40.4204357262806,-3.67335312361339 40.4210711855807))",9,89390ca2673ffff,0.480191761519161,2.91992357523631,-0.142110514609457,-0.323417320889754,-0.0727897484154565,-0.0998976425084099,-1.95569402632764
"POLYGON ((-3.66935728725166 40.4216518967877,-3.67112058821603 40.4204357262806,-3.67065139198047 40.4185840548699,-3.66841900844965 40.4179485714843,-3.66665576404972 40.4191647130524,-3.66712484661559 40.421016366944,-3.66935728725166 40.4216518967877))",9,89390ca2677ffff,0.483662216161858,2.81570208575291,-0.129823783130019,-0.538208826060806,-0.0162110864863172,-0.216965722703681,-1.82199444529501
"POLYGON ((-3.67464709575102 40.4180032380927,-3.67641030231664 40.416786920417,-3.67594097406246 40.4149352188453,-3.67370855290233 40.4142998524559,-3.67194540287844 40.4155161411836,-3.67241461747234 40.4173678252476,-3.67464709575102 40.4180032380927))",9,89390ca267bffff,0.479833847360071,2.91305208703767,-0.156057173779096,-0.34717592823442,-0.00734619673840675,-0.0574284883893394,-1.98598533457991
"POLYGON ((-3.67887180869778 40.4346683442912,-3.68063541138383 40.4334521171479,-3.68016585214925 40.4316004391099,-3.67793280394162 40.4309650057133,-3.67616925780942 40.4321812039136,-3.67663870333041 40.4340328644524,-3.67887180869778 40.4346683442912))",9,89390ca2683ffff,0.392695655696271,2.88236802707759,-0.224489473998322,-0.735074933218526,-0.162668636782708,-0.43336157009518,-2.73986124427619
"POLYGON ((-3.67487508168993 40.4352490035077,-3.67663870333041 40.4340328644524,-3.67616925780942 40.4321812039136,-3.6739363043613 40.4315456999366,-3.67217273928849 40.4327618100543,-3.67264207109555 40.4346134530854,-3.67487508168993 40.4352490035077))",9,89390ca2687ffff,0.406455761468406,2.86900878697273,-0.226715891771751,-0.879782519925679,-0.192381373270459,-0.575411089165153,-2.63710902094428
"POLYGON ((-3.68016585214925 40.4316004391099,-3.68192937932264 40.4303841528277,-3.68145980174404 40.4285324620965,-3.67922681069601 40.4278970751428,-3.67746334006757 40.4291133324784,-3.67793280394162 40.4309650057133,-3.68016585214925 40.4316004391099))",9,89390ca268bffff,0.396969395679619,2.91033698018329,-0.233048291563143,-0.765716826977416,-0.131449504042767,-0.398247024148026,-2.60167458652755
"POLYGON ((-3.67616925780942 40.4321812039136,-3.67793280394162 40.4309650057133,-3.67746334006757 40.4291133324784,-3.67523044376558 40.4284778749475,-3.67346695419212 40.4296940442066,-3.6739363043613 40.4315456999366,-3.67616925780942 40.4321812039136))",9,89390ca268fffff,0.394800907043933,2.84804515666598,-0.22814784917419,-0.87668381725266,-0.137302735395988,-0.51546735556514,-2.56466920757368
"POLYGON ((-3.68157460687913 40.4371554653114,-3.68333826611415 40.4359392092231,-3.68286861150565 40.4340875263952,-3.68063541138383 40.4334521171479,-3.67887180869778 40.4346683442912,-3.67934134958397 40.4365200096258,-3.68157460687913 40.4371554653114))",9,89390ca2693ffff,0.414951573037764,2.95504242908429,-0.227915308906685,-0.651514605356851,-0.0854055235057126,-0.202222245331901,-2.5925205578992
"POLYGON ((-3.67757767138074 40.4377361776206,-3.67934134958397 40.4365200096258,-3.67887180869778 40.4346683442912,-3.67663870333041 40.4340328644524,-3.67487508168993 40.4352490035077,-3.67534450885349 40.4371006513402,-3.67757767138074 40.4377361776206))",9,89390ca2697ffff,0.407858004350382,2.91290726198452,-0.22625044447385,-0.821060419112836,-0.12483419173159,-0.336582469390932,-2.69213684391309
"POLYGON ((-3.68286861150565 40.4340875263952,-3.68463219521909 40.4328712111643,-3.68416252227126 40.4310195156359,-3.68192937932264 40.4303841528277,-3.68016585214925 40.4316004391099,-3.68063541138383 40.4334521171479,-3.68286861150565 40.4340875263952))",9,89390ca269bffff,0.41177060998418,2.9465405561461,-0.230645899342022,-0.673689783294435,-0.0892021190890523,-0.252963128037133,-2.61172187530516
"POLYGON ((-3.66665576404972 40.4191647130524,-3.66841900844965 40.4179485714843,-3.66794990751638 40.4160969049365,-3.66571767584356 40.4154613974805,-3.66395448801293 40.4166775101115,-3.66442347528525 40.4185291591345,-3.66665576404972 40.4191647130524))",9,89390ca2667ffff,0.571317054002539,2.7993319764266,-0.140144477976002,-0.473425002265007,-0.0760675252626689,-0.038718632197057,-1.39687783534808
